b'id',b'key',b'value',b'type'
190392814,b'created_by',b'JOSM',b'regular'
190392892,b'created_by',b'JOSM',b'regular'
190392916,b'created_by',b'JOSM',b'regular'
190392943,b'created_by',b'JOSM',b'regular'
190392972,b'created_by',b'JOSM',b'regular'
190393013,b'created_by',b'JOSM',b'regular'
190393046,b'created_by',b'JOSM',b'regular'
190393066,b'created_by',b'JOSM',b'regular'
190393082,b'created_by',b'JOSM',b'regular'
190393112,b'created_by',b'JOSM',b'regular'
190393137,b'created_by',b'JOSM',b'regular'
190393153,b'created_by',b'JOSM',b'regular'
190393183,b'created_by',b'JOSM',b'regular'
190393184,b'created_by',b'JOSM',b'regular'
190393185,b'created_by',b'JOSM',b'regular'
190393197,b'created_by',b'JOSM',b'regular'
190393223,b'created_by',b'JOSM',b'regular'
190393253,b'created_by',b'JOSM',b'regular'
190393279,b'created_by',b'JOSM',b'regular'
190393303,b'created_by',b'JOSM',b'regular'
190393322,b'created_by',b'JOSM',b'regular'
190393355,b'created_by',b'JOSM',b'regular'
190643059,b'created_by',b'JOSM',b'regular'
190645070,b'created_by',b'JOSM',b'regular'
190645121,b'created_by',b'JOSM',b'regular'
190645140,b'created_by',b'JOSM',b'regular'
190645157,b'created_by',b'JOSM',b'regular'
190645177,b'created_by',b'JOSM',b'regular'
190645194,b'created_by',b'JOSM',b'regular'
190645224,b'created_by',b'JOSM',b'regular'
190645269,b'created_by',b'JOSM',b'regular'
190645289,b'created_by',b'JOSM',b'regular'
190645311,b'created_by',b'JOSM',b'regular'
190645315,b'created_by',b'JOSM',b'regular'
190645330,b'created_by',b'JOSM',b'regular'
190645347,b'created_by',b'JOSM',b'regular'
190645366,b'created_by',b'JOSM',b'regular'
190645390,b'created_by',b'JOSM',b'regular'
190645416,b'created_by',b'JOSM',b'regular'
190645441,b'created_by',b'JOSM',b'regular'
190645460,b'created_by',b'JOSM',b'regular'
190645473,b'created_by',b'JOSM',b'regular'
190645497,b'created_by',b'JOSM',b'regular'
190645526,b'created_by',b'JOSM',b'regular'
190645561,b'created_by',b'JOSM',b'regular'
190645581,b'created_by',b'JOSM',b'regular'
190645604,b'created_by',b'JOSM',b'regular'
190645633,b'created_by',b'JOSM',b'regular'
190645657,b'created_by',b'JOSM',b'regular'
190645681,b'created_by',b'JOSM',b'regular'
190645698,b'crossing',b'traffic_signals',b'regular'
190645698,b'highway',b'traffic_signals',b'regular'
190645720,b'created_by',b'JOSM',b'regular'
190645731,b'created_by',b'JOSM',b'regular'
190645753,b'created_by',b'JOSM',b'regular'
190645770,b'created_by',b'JOSM',b'regular'
190645784,b'created_by',b'JOSM',b'regular'
190645816,b'created_by',b'JOSM',b'regular'
190645833,b'created_by',b'JOSM',b'regular'
190645858,b'created_by',b'JOSM',b'regular'
190645879,b'created_by',b'JOSM',b'regular'
190645892,b'created_by',b'JOSM',b'regular'
190645915,b'created_by',b'JOSM',b'regular'
190645919,b'created_by',b'JOSM',b'regular'
190645921,b'created_by',b'JOSM',b'regular'
190645930,b'created_by',b'JOSM',b'regular'
190645954,b'created_by',b'JOSM',b'regular'
190645967,b'created_by',b'JOSM',b'regular'
190645978,b'created_by',b'JOSM',b'regular'
190645994,b'created_by',b'JOSM',b'regular'
190646019,b'created_by',b'JOSM',b'regular'
190646035,b'created_by',b'JOSM',b'regular'
190646054,b'created_by',b'JOSM',b'regular'
190646063,b'created_by',b'JOSM',b'regular'
190646200,b'created_by',b'JOSM',b'regular'
190646486,b'highway',b'motorway_junction',b'regular'
190646486,b'ref',b'24',b'regular'
190647340,b'highway',b'motorway_junction',b'regular'
190647340,b'ref',b'19',b'regular'
