b'id',b'key',b'value',b'type'
b'24841671',b'oneway',b'yes',b'regular'
b'24841673',b'highway',b'motorway',b'regular'
b'24841673',b'lanes',b'2',b'regular'
b'24841673',b'oneway',b'yes',b'regular'
b'24841673',b'ref',b'M19',b'regular'
b'24851114',b'highway',b'secondary',b'regular'
b'24851114',b'name',b'Qashana Khuzwayo Road',b'regular'
b'24851114',b'oneway',b'yes',b'regular'
b'24851144',b'highway',b'motorway',b'regular'
b'24851144',b'lanes',b'2',b'regular'
b'24851144',b'oneway',b'yes',b'regular'
b'24851144',b'ref',b'M19',b'regular'
b'24851144',b'surface',b'paved',b'regular'
b'24851147',b'bridge',b'yes',b'regular'
b'24851147',b'highway',b'motorway',b'regular'
b'24851147',b'lanes',b'2',b'regular'
b'24851147',b'layer',b'1',b'regular'
b'24851147',b'oneway',b'yes',b'regular'
b'24851147',b'ref',b'M19',b'regular'
b'24851147',b'surface',b'paved',b'regular'
b'24851186',b'highway',b'motorway_link',b'regular'
b'24851186',b'oneway',b'yes',b'regular'
b'24851187',b'highway',b'motorway_link',b'regular'
b'24851187',b'oneway',b'yes',b'regular'
b'24851188',b'highway',b'motorway_link',b'regular'
b'24851188',b'oneway',b'yes',b'regular'
b'24851193',b'highway',b'motorway_link',b'regular'
b'24851193',b'oneway',b'yes',b'regular'
b'24851214',b'created_by',b'Potlatch 0.9c',b'regular'
b'24851214',b'highway',b'motorway_link',b'regular'
b'24851214',b'oneway',b'yes',b'regular'
b'24851215',b'created_by',b'Potlatch 0.9c',b'regular'
b'24851215',b'highway',b'motorway_link',b'regular'
b'24851215',b'oneway',b'yes',b'regular'
b'24851224',b'highway',b'motorway_link',b'regular'
b'24851224',b'oneway',b'yes',b'regular'
b'24851226',b'highway',b'motorway_link',b'regular'
b'24851226',b'oneway',b'yes',b'regular'
b'24851277',b'created_by',b'Potlatch 0.9c',b'regular'
b'24851277',b'highway',b'motorway_link',b'regular'
b'24851277',b'oneway',b'yes',b'regular'
b'24851424',b'highway',b'primary',b'regular'
b'24851424',b'lanes',b'4',b'regular'
b'24851424',b'name',b'Umgeni Road',b'regular'
b'24851424',b'oneway',b'yes',b'regular'
b'24851424',b'ref',b'R102',b'regular'
b'24851424',b'surface',b'paved',b'regular'
b'24857830',b'highway',b'secondary',b'regular'
b'24857830',b'name',b'Qashana Khuzwayo Road',b'regular'
b'24866212',b'bridge',b'yes',b'regular'
b'24866212',b'created_by',b'Potlatch 0.9c',b'regular'
b'24866212',b'highway',b'motorway',b'regular'
b'24866212',b'layer',b'1',b'regular'
b'24866212',b'oneway',b'yes',b'regular'
b'24866212',b'ref',b'N3',b'regular'
b'24866213',b'bridge',b'yes',b'regular'
b'24866213',b'created_by',b'Potlatch 0.9c',b'regular'
b'24866213',b'highway',b'motorway',b'regular'
b'24866213',b'layer',b'1',b'regular'
b'24866213',b'oneway',b'yes',b'regular'
